V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
1245.7244,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7268
1245.7252,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7262
1245.7252,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7263
1245.7269,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7233
1245.7242,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7268
1245.7256,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7272
1245.7108,1245.7269,1245.7269,1245.7269,1245.7269,1245.7269,1245.7269,1245.7269,1245.7269,1245.7269,1245.7269,1245.7269,1245.7269,1245.7238
1245.7247,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7268
1245.7245,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7264
1245.7242,1245.7292,1245.7292,1245.7292,1245.7292,1245.7292,1245.7292,1245.7292,1245.7292,1245.7292,1245.7292,1245.7292,1245.7292,1245.7269
1245.7246,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7267
1245.7239,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7267
1245.7234,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7269
1245.7246,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7268
1245.7117,1245.7283,1245.7283,1245.7283,1245.7283,1245.7283,1245.7283,1245.7283,1245.7283,1245.7283,1245.7283,1245.7283,1245.7283,1245.7273
1245.7249,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7266
1245.7236,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.7294,1245.727
1245.7247,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7263
1245.7242,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7274
1245.7246,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7295,1245.7264
