V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
21.981197,21.978859,21.978859,21.97886,21.97886,21.97886,21.978865,21.978859,21.978865,21.978859,21.978859,21.978859,21.978859,21.978865,21.978859,21.978863,21.978859,21.978863,21.978859,21.978859,21.978865,21.978859,21.978863,21.978863,21.978865,21.978859,21.97886,21.978859,21.97886,21.97886,21.978859,21.97886,21.97886,21.978859,21.978859,21.978865,21.97886,21.978859,21.97886,21.97886,21.97886,21.978859,21.978859,21.97886,21.978859,21.978859,21.978859,21.980652
21.980947,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.979279,21.98124
21.97856,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.98129
21.979582,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.979826,21.980688
21.980324,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.97844,21.97844,21.97844,21.97844,21.97844,21.97844,21.97844,21.97844,21.97844,21.97844,21.97844,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.978437,21.97844,21.97844,21.97844,21.981773
21.981274,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.979805
21.979368,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.978949,21.981052
21.980026,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.9786,21.980888
21.980093,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.979248,21.980904
21.98003,21.978848,21.978846,21.978838,21.978846,21.978834,21.978838,21.978848,21.978848,21.978846,21.978846,21.978844,21.978846,21.978848,21.978842,21.978842,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978844,21.978844,21.978844,21.978844,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978844,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.978846,21.9805
21.979595,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.978672,21.980612
21.980968,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.9787,21.981375
21.979755,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.977665,21.98084
21.979527,21.978867,21.97889,21.97891,21.978914,21.978937,21.978928,21.978916,21.978916,21.978937,21.978935,21.978928,21.978924,21.978924,21.978924,21.978922,21.978931,21.978933,21.97893,21.978931,21.978935,21.978928,21.97892,21.97892,21.978924,21.978922,21.978928,21.978931,21.978931,21.97893,21.978937,21.978933,21.978935,21.97894,21.97894,21.978943,21.978931,21.978931,21.978933,21.978941,21.978933,21.978931,21.978933,21.978935,21.978935,21.978933,21.978928,21.981062
21.980114,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.978743,21.980844
21.98008,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.97947,21.98111
21.979815,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.978876,21.981165
21.981087,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.978762,21.980688
21.980242,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.978424,21.980616
