V1,V2,V3,V4,V5,V6,V7,V8
2623.477,2623.3596,2623.3596,2623.3596,2623.3596,2623.3596,2623.3596,2623.475
2623.4775,2623.3628,2623.3628,2623.3628,2623.3628,2623.3628,2623.3628,2623.4753
2623.4768,2623.3552,2623.3552,2623.3552,2623.3552,2623.3552,2623.3552,2623.475
2623.4768,2623.3604,2623.3604,2623.3604,2623.3604,2623.3604,2623.3604,2623.4753
2623.471,2623.4182,2623.4182,2623.4182,2623.4182,2623.4182,2623.4182,2623.477
2623.4766,2623.3645,2623.3645,2623.3645,2623.3645,2623.3645,2623.3645,2623.4749
2623.4763,2623.3625,2623.3625,2623.3625,2623.3625,2623.3625,2623.3625,2623.475
2623.466,2623.367,2623.367,2623.367,2623.367,2623.367,2623.367,2623.4744
2623.476,2623.3638,2623.3638,2623.3638,2623.3638,2623.3638,2623.3638,2623.4744
2623.4763,2623.3616,2623.3616,2623.3616,2623.3616,2623.3616,2623.3616,2623.4746
2623.4766,2623.359,2623.359,2623.359,2623.359,2623.359,2623.359,2623.475
2623.4685,2623.381,2623.381,2623.381,2623.381,2623.381,2623.381,2623.475
2623.476,2623.3643,2623.3643,2623.3643,2623.3643,2623.3643,2623.3643,2623.4746
2623.4666,2623.3708,2623.3708,2623.3708,2623.3708,2623.3708,2623.3708,2623.4749
2623.4656,2623.371,2623.371,2623.371,2623.371,2623.371,2623.371,2623.4722
2623.4688,2623.3857,2623.3857,2623.3857,2623.3857,2623.3857,2623.3857,2623.4744
2623.4766,2623.3665,2623.3665,2623.3665,2623.3665,2623.3665,2623.3665,2623.475
2623.4766,2623.361,2623.361,2623.361,2623.361,2623.361,2623.361,2623.4749
2623.467,2623.3716,2623.3716,2623.3716,2623.3716,2623.3716,2623.3716,2623.475
2623.4666,2623.366,2623.366,2623.366,2623.366,2623.366,2623.366,2623.4753
2623.467,2623.3691,2623.3691,2623.3691,2623.3691,2623.3691,2623.3691,2623.4753
2623.467,2623.3691,2623.3691,2623.3691,2623.3691,2623.3691,2623.3691,2623.4749
2623.4668,2623.3682,2623.3682,2623.3682,2623.3682,2623.3682,2623.3682,2623.475
2623.4763,2623.3604,2623.3604,2623.3604,2623.3604,2623.3604,2623.3604,2623.4749
2623.476,2623.3608,2623.3608,2623.3608,2623.3608,2623.3608,2623.3608,2623.4746
2623.471,2623.4028,2623.4028,2623.4028,2623.4028,2623.4028,2623.4028,2623.4749
2623.4763,2623.3596,2623.3596,2623.3596,2623.3596,2623.3596,2623.3596,2623.4749
2623.476,2623.3638,2623.3638,2623.3638,2623.3638,2623.3638,2623.3638,2623.4746
2623.4758,2623.364,2623.364,2623.364,2623.364,2623.364,2623.364,2623.474
2623.4763,2623.3577,2623.3577,2623.3577,2623.3577,2623.3577,2623.3577,2623.4749
2623.4766,2623.361,2623.361,2623.361,2623.361,2623.361,2623.361,2623.475
2623.466,2623.3699,2623.3699,2623.3699,2623.3699,2623.3699,2623.3699,2623.4746
2623.4763,2623.3613,2623.3613,2623.3613,2623.3613,2623.3613,2623.3613,2623.4749
2623.4766,2623.36,2623.36,2623.36,2623.36,2623.36,2623.36,2623.475
2623.4763,2623.3584,2623.3584,2623.3584,2623.3584,2623.3584,2623.3584,2623.475
2623.476,2623.3652,2623.3652,2623.3652,2623.3652,2623.3652,2623.3652,2623.474
2623.4763,2623.3655,2623.3655,2623.3655,2623.3655,2623.3655,2623.3655,2623.475
2623.4756,2623.3623,2623.3623,2623.3623,2623.3623,2623.3623,2623.3623,2623.4736
2623.4688,2623.3806,2623.3806,2623.3806,2623.3806,2623.3806,2623.3806,2623.4746
2623.4763,2623.3638,2623.3638,2623.3638,2623.3638,2623.3638,2623.3638,2623.4749
