V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
51.32941,51.349174,51.349174,51.349174,51.349174,51.349174,51.349174,51.349174,51.349174,51.349174,51.349174,51.349174,51.3377
51.327137,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.337727
51.32622,51.34914,51.34914,51.34914,51.34914,51.34914,51.34914,51.34914,51.34914,51.34914,51.34914,51.34914,51.337597
51.314274,51.348434,51.348434,51.348434,51.348434,51.348434,51.348434,51.348434,51.348434,51.348434,51.348434,51.348434,51.33311
51.328236,51.349087,51.349087,51.349087,51.349087,51.349087,51.349087,51.349087,51.349087,51.349087,51.349087,51.349087,51.336487
51.318096,51.34892,51.34892,51.34892,51.34892,51.34892,51.34892,51.34892,51.34892,51.34892,51.34892,51.34892,51.336773
51.321213,51.34824,51.34824,51.34824,51.34824,51.34824,51.34824,51.34824,51.34824,51.34824,51.34824,51.34824,51.33491
51.31276,51.345955,51.345955,51.345955,51.345955,51.345955,51.345955,51.345955,51.345955,51.345955,51.345955,51.345955,51.333546
51.318073,51.348137,51.348137,51.348137,51.348137,51.348137,51.348137,51.348137,51.348137,51.348137,51.348137,51.348137,51.32702
51.325832,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.337505
51.3291,51.348824,51.348824,51.348824,51.348824,51.348824,51.348824,51.348824,51.348824,51.348824,51.348824,51.348824,51.33656
51.326885,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.337414
51.325016,51.348724,51.348724,51.348724,51.348724,51.348724,51.348724,51.348724,51.348724,51.348724,51.348724,51.348724,51.337345
51.324444,51.34901,51.34901,51.34901,51.34901,51.34901,51.34901,51.34901,51.34901,51.34901,51.34901,51.34901,51.3375
51.315765,51.346375,51.346375,51.346375,51.346375,51.346375,51.346375,51.346375,51.346375,51.346375,51.346375,51.346375,51.338036
51.315765,51.346375,51.346375,51.346375,51.346375,51.346375,51.346375,51.346375,51.346375,51.346375,51.346375,51.346375,51.338036
51.32618,51.349213,51.349213,51.349213,51.349213,51.349213,51.349213,51.349213,51.349213,51.349213,51.349213,51.349213,51.33739
51.328094,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.337402
51.31746,51.348946,51.348946,51.348946,51.348946,51.348946,51.348946,51.348946,51.348946,51.348946,51.348946,51.348946,51.33437
51.316868,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.336697
51.324345,51.348835,51.348835,51.348835,51.348835,51.348835,51.348835,51.348835,51.348835,51.348835,51.348835,51.348835,51.33735
51.310154,51.348526,51.348526,51.348526,51.348526,51.348526,51.348526,51.348526,51.348526,51.348526,51.348526,51.348526,51.336006
51.31737,51.349083,51.349083,51.349083,51.349083,51.349083,51.349083,51.349083,51.349083,51.349083,51.349083,51.349083,51.337368
51.32055,51.348347,51.348347,51.348347,51.348347,51.348347,51.348347,51.348347,51.348347,51.348347,51.348347,51.348347,51.33671
51.31607,51.347763,51.347763,51.347763,51.347763,51.347763,51.347763,51.347763,51.347763,51.347763,51.347763,51.347763,51.332146
51.31816,51.3488,51.3488,51.3488,51.3488,51.3488,51.3488,51.3488,51.3488,51.3488,51.3488,51.3488,51.337288
51.317936,51.348427,51.348427,51.348427,51.348427,51.348427,51.348427,51.348427,51.348427,51.348427,51.348427,51.348427,51.333183
51.317158,51.339165,51.339165,51.339165,51.339165,51.339165,51.339165,51.339165,51.339165,51.339165,51.339165,51.339165,51.3273
51.319042,51.347977,51.347977,51.347977,51.347977,51.347977,51.347977,51.347977,51.347977,51.347977,51.347977,51.347977,51.33614
51.32535,51.349075,51.349075,51.349075,51.349075,51.349075,51.349075,51.349075,51.349075,51.349075,51.349075,51.349075,51.337936
51.312798,51.34653,51.34653,51.34653,51.34653,51.34653,51.34653,51.34653,51.34653,51.34653,51.34653,51.34653,51.33669
51.32127,51.349052,51.349052,51.349052,51.349052,51.349052,51.349052,51.349052,51.349052,51.349052,51.349052,51.349052,51.339523
51.323032,51.348976,51.348976,51.348976,51.348976,51.348976,51.348976,51.348976,51.348976,51.348976,51.348976,51.348976,51.335144
51.320087,51.348423,51.348423,51.348423,51.348423,51.348423,51.348423,51.348423,51.348423,51.348423,51.348423,51.348423,51.330757
51.322468,51.34874,51.34874,51.34874,51.34874,51.34874,51.34874,51.34874,51.34874,51.34874,51.34874,51.34874,51.334385
51.325268,51.34824,51.34824,51.34824,51.34824,51.34824,51.34824,51.34824,51.34824,51.34824,51.34824,51.34824,51.33418
51.32574,51.34916,51.34916,51.34916,51.34916,51.34916,51.34916,51.34916,51.34916,51.34916,51.34916,51.34916,51.337288
51.32819,51.349197,51.349197,51.349197,51.349197,51.349197,51.349197,51.349197,51.349197,51.349197,51.349197,51.349197,51.33747
51.325916,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.33744
51.325912,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.33744
51.328323,51.349125,51.349125,51.349125,51.349125,51.349125,51.349125,51.349125,51.349125,51.349125,51.349125,51.349125,51.337257
51.32833,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.337257
51.328323,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.33726
51.32591,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.33745
51.32818,51.349148,51.349148,51.349148,51.349148,51.349148,51.349148,51.349148,51.349148,51.349148,51.349148,51.349148,51.336945
51.32619,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.33753
51.32818,51.349148,51.349148,51.349148,51.349148,51.349148,51.349148,51.349148,51.349148,51.349148,51.349148,51.349148,51.33694
51.32604,51.349102,51.349102,51.349102,51.349102,51.349102,51.349102,51.349102,51.349102,51.349102,51.349102,51.349102,51.337643
51.328514,51.34916,51.34916,51.34916,51.34916,51.34916,51.34916,51.34916,51.34916,51.34916,51.34916,51.34916,51.336983
51.328514,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.336994
51.325996,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.337456
51.328472,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.33756
51.323757,51.34875,51.34875,51.34875,51.34875,51.34875,51.34875,51.34875,51.34875,51.34875,51.34875,51.34875,51.33617
51.32838,51.34914,51.34914,51.34914,51.34914,51.34914,51.34914,51.34914,51.34914,51.34914,51.34914,51.34914,51.337597
51.325054,51.348892,51.348892,51.348892,51.348892,51.348892,51.348892,51.348892,51.348892,51.348892,51.348892,51.348892,51.335594
51.32339,51.348347,51.348347,51.348347,51.348347,51.348347,51.348347,51.348347,51.348347,51.348347,51.348347,51.348347,51.337032
51.324738,51.349052,51.349052,51.349052,51.349052,51.349052,51.349052,51.349052,51.349052,51.349052,51.349052,51.349052,51.338024
51.32854,51.349045,51.349045,51.349045,51.349045,51.349045,51.349045,51.349045,51.349045,51.349045,51.349045,51.349045,51.33664
51.32596,51.34712,51.34712,51.34712,51.34712,51.34712,51.34712,51.34712,51.34712,51.34712,51.34712,51.34712,51.33882
51.328148,51.349216,51.349216,51.349216,51.349216,51.349216,51.349216,51.349216,51.349216,51.349216,51.349216,51.349216,51.337345
51.326374,51.34904,51.34904,51.34904,51.34904,51.34904,51.34904,51.34904,51.34904,51.34904,51.34904,51.34904,51.337585
51.328083,51.349194,51.349194,51.349194,51.349194,51.349194,51.349194,51.349194,51.349194,51.349194,51.349194,51.349194,51.337353
51.328255,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.33745
51.324028,51.348965,51.348965,51.348965,51.348965,51.348965,51.348965,51.348965,51.348965,51.348965,51.348965,51.348965,51.334896
51.324245,51.348988,51.348988,51.348988,51.348988,51.348988,51.348988,51.348988,51.348988,51.348988,51.348988,51.348988,51.33504
51.32619,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.33768
51.326015,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.337566
51.328533,51.349174,51.349174,51.349174,51.349174,51.349174,51.349174,51.349174,51.349174,51.349174,51.349174,51.349174,51.33759
51.32844,51.349182,51.349182,51.349182,51.349182,51.349182,51.349182,51.349182,51.349182,51.349182,51.349182,51.349182,51.337727
51.32647,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.33752
51.328503,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.337597
51.328503,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.337597
51.328503,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.337597
51.31336,51.346172,51.346172,51.346172,51.346172,51.346172,51.346172,51.346172,51.346172,51.346172,51.346172,51.346172,51.33699
51.32856,51.349182,51.349182,51.349182,51.349182,51.349182,51.349182,51.349182,51.349182,51.349182,51.349182,51.349182,51.337383
51.32859,51.3466,51.3466,51.3466,51.3466,51.3466,51.3466,51.3466,51.3466,51.3466,51.3466,51.3466,51.33696
51.313652,51.34888,51.34888,51.34888,51.34888,51.34888,51.34888,51.34888,51.34888,51.34888,51.34888,51.34888,51.336563
51.313557,51.348896,51.348896,51.348896,51.348896,51.348896,51.348896,51.348896,51.348896,51.348896,51.348896,51.348896,51.327694
51.320873,51.347477,51.347477,51.347477,51.347477,51.347477,51.347477,51.347477,51.347477,51.347477,51.347477,51.347477,51.335026
51.319656,51.34736,51.34736,51.34736,51.34736,51.34736,51.34736,51.34736,51.34736,51.34736,51.34736,51.34736,51.33387
51.328144,51.349194,51.349194,51.349194,51.349194,51.349194,51.349194,51.349194,51.349194,51.349194,51.349194,51.349194,51.337524
51.326294,51.349236,51.349236,51.349236,51.349236,51.349236,51.349236,51.349236,51.349236,51.349236,51.349236,51.349236,51.337364
51.325993,51.349163,51.349163,51.349163,51.349163,51.349163,51.349163,51.349163,51.349163,51.349163,51.349163,51.349163,51.337765
51.326046,51.349163,51.349163,51.349163,51.349163,51.349163,51.349163,51.349163,51.349163,51.349163,51.349163,51.349163,51.337666
51.32613,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.33715
51.326157,51.34919,51.34919,51.34919,51.34919,51.34919,51.34919,51.34919,51.34919,51.34919,51.34919,51.34919,51.337444
51.328384,51.34924,51.34924,51.34924,51.34924,51.34924,51.34924,51.34924,51.34924,51.34924,51.34924,51.34924,51.33733
51.32606,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.349228,51.33722
51.327347,51.349148,51.349148,51.349148,51.349148,51.349148,51.349148,51.349148,51.349148,51.349148,51.349148,51.349148,51.33782
51.326603,51.34916,51.34916,51.34916,51.34916,51.34916,51.34916,51.34916,51.34916,51.34916,51.34916,51.34916,51.33769
51.326653,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.349155,51.33739
51.33003,51.34913,51.34913,51.34913,51.34913,51.34913,51.34913,51.34913,51.34913,51.34913,51.34913,51.34913,51.337746
51.326138,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.337383
51.32555,51.34914,51.34914,51.34914,51.34914,51.34914,51.34914,51.34914,51.34914,51.34914,51.34914,51.34914,51.33749
51.323692,51.34888,51.34888,51.34888,51.34888,51.34888,51.34888,51.34888,51.34888,51.34888,51.34888,51.34888,51.337555
51.32625,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.33733
51.325127,51.349037,51.349037,51.349037,51.349037,51.349037,51.349037,51.349037,51.349037,51.349037,51.349037,51.349037,51.33764
51.325047,51.34909,51.34909,51.34909,51.34909,51.34909,51.34909,51.34909,51.34909,51.34909,51.34909,51.34909,51.33761
51.328945,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.33737
51.326088,51.349182,51.349182,51.349182,51.349182,51.349182,51.349182,51.349182,51.349182,51.349182,51.349182,51.349182,51.337635
51.326027,51.349174,51.349174,51.349174,51.349174,51.349174,51.349174,51.349174,51.349174,51.349174,51.349174,51.349174,51.337383
51.3257,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.337296
51.32569,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.337395
51.328773,51.34921,51.34921,51.34921,51.34921,51.34921,51.34921,51.34921,51.34921,51.34921,51.34921,51.34921,51.337204
51.32613,51.349213,51.349213,51.349213,51.349213,51.349213,51.349213,51.349213,51.349213,51.349213,51.349213,51.349213,51.337387
51.326187,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.337357
51.325954,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.349136,51.33742
51.32633,51.34919,51.34919,51.34919,51.34919,51.34919,51.34919,51.34919,51.34919,51.34919,51.34919,51.34919,51.33735
51.32636,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.349186,51.337337
51.325882,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.337498
51.32838,51.34924,51.34924,51.34924,51.34924,51.34924,51.34924,51.34924,51.34924,51.34924,51.34924,51.34924,51.337322
51.326015,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.349224,51.337246
51.32832,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.349167,51.337452
51.327885,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.349133,51.33739
51.32791,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.349144,51.337402
51.326946,51.34911,51.34911,51.34911,51.34911,51.34911,51.34911,51.34911,51.34911,51.34911,51.34911,51.34911,51.337437
51.325996,51.349216,51.349216,51.349216,51.349216,51.349216,51.349216,51.349216,51.349216,51.349216,51.349216,51.349216,51.337383
51.32614,51.34922,51.34922,51.34922,51.34922,51.34922,51.34922,51.34922,51.34922,51.34922,51.34922,51.34922,51.33738
51.326157,51.34912,51.34912,51.34912,51.34912,51.34912,51.34912,51.34912,51.34912,51.34912,51.34912,51.34912,51.337547
51.323353,51.348606,51.348606,51.348606,51.348606,51.348606,51.348606,51.348606,51.348606,51.348606,51.348606,51.348606,51.33763
51.326145,51.34918,51.34918,51.34918,51.34918,51.34918,51.34918,51.34918,51.34918,51.34918,51.34918,51.34918,51.337337
51.327576,51.349113,51.349113,51.349113,51.349113,51.349113,51.349113,51.349113,51.349113,51.349113,51.349113,51.349113,51.337185
